UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
126614,"University of Colorado Boulder","Regent Drive at Broadway","Boulder","CO","80309-0017", 8, 7,"Philip P. DiStefano","Chancellor","3034921411","3034920996","846000555","00137000",1,"www.colorado.edu","www.colorado.edu/prospective/","www.colorado.edu/finaid/","admissions.colorado.edu/undergraduate/apply","www.collegeportraits.org/CO/CU-Boulder/estimator/agree",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder",2,15,8,15,12,4,15,15,2,5,14500,1,216,-2,1,"University of Colorado","108040",8013,"Boulder County",802,-105.267061,40.004415,126,1
130794,"Yale University","Woodbridge Hall","New Haven","CT","06520", 9, 1,"Peter Salovey","President","2034324771"," ","060646973","00142600",1,"www.yale.edu","admissions.yale.edu","admissions.yale.edu/financial-aid","admissions.yale.edu/","admissions.yale.edu/yale-net-price-calculator",2,1,2,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,5,14,12,6,17,15,2,4,35300,1,408,75700,2," ","-2",9009,"New Haven County",903,-72.926688,41.311158,127,1
134130,"University of Florida"," ","Gainesville","FL","32611",12, 5,"Dr. James Bernard Machen","President","3523923261"," ","596002052","00153500",1,"www.ufl.edu/","www.admissions.ufl.edu","www.sfa.ufl.edu/","www.admissions.ufl.edu/","npc.collegeboard.org/student/app/ufl",1,1,1,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,12,5,16,15,1,5,23540,1,264,-2,1,"State University System of Florida","112090",12001,"Alachua County",1203,-82.361195,29.638248,125,1
139755,"Georgia Institute of Technology-Main Campus","225 North Ave","Atlanta","GA","30332-0530",13, 5,"G.P.  Bud  Peterson","President","4048942000"," ","586002023","00156900",1,"www.gatech.edu","www.admission.gatech.edu/","www.finaid.gatech.edu/","www.admission.gatech.edu/apply/","www.admission.gatech.edu/npcalc/npcalc1011.htm",1,1,1,9,1,1,12,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"Georgia Tech",2,15,14,15,12,5,17,15,2,5,12060,1,122,-2,1,"University System of Georgia","113020",13121,"Fulton County",1305,-84.396019,33.773732,126,1
144050,"University of Chicago","5801 S Ellis Ave","Chicago","IL","60637",17, 3,"Robert J. Zimmer","President","7737021234","7738344300","362177139","00177400",1,"WWW.UCHICAGO.EDU","collegeadmissions.uchicago.edu/","collegeaid.uchicago.edu/","https://app.commonapp.org/","collegeadmissions.uchicago.edu/costs/apply/calculate.shtml",2,1,2,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,5,14,12,6,17,15,2,4,16980,1,176,-2,2," ","-2",17031,"Cook County",1701,-87.601196,41.789170,127,1
145637,"University of Illinois at Urbana-Champaign","601 E John Street","Champaign","IL","61820-5711",17, 3,"Phyllis Wise","Vice President and Chancellor","2173331000","2172444614","376000511","00177500",1,"www.illinois.edu/","admissions.illinois.edu/","www.osfa.illinois.edu","admissions.illinois.edu/apply/app.html","www.osfa.illinois.edu/aid/NPC/NPC.asp",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU",2,15,11,14,12,5,16,15,1,5,16580,1,-2,-2,1,"University of Illinois Board of Trustees","117040",17019,"Champaign County",1713,-88.230309,40.108864,125,1
147767,"Northwestern University","633 Clark St","Evanston","IL","60208",17, 3,"Morton O. Schapiro","President","8474913741"," ","362167817","00173900",1,"www.northwestern.edu","www.northwestern.edu/admissions/","www.northwestern.edu/admissions/","www.northwestern.edu/admissions/","ug-finaid.northwestern.edu/college_cost_calculator.html",2,1,2,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,6,17,15,2,5,16980,1,176,-2,2," ","-2",17031,"Cook County",1709,-87.673653,42.058377,127,1
152080,"University of Notre Dame","400 Main Building","Notre Dame","IN","46556",18, 3,"Rev. John I. Jenkins, C.S.C.","President","5746315000"," ","350868188","00184000",1,"www.nd.edu","admissions.nd.edu","financialaid.nd.edu","admissions.nd.edu/onlineapplication","financialaid.nd.edu",2,1,2,9,1,1,11,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1,"Notre Dame | Fighting Irish | ND",2,15,8,15,12,5,17,15,2,4,43780,1,515,-2,2," ","-2",18141,"St. Joseph County",1802,-86.238959,41.703058,127,1
162928,"Johns Hopkins University","3400 N Charles St, Mason Hall","Baltimore","MD","21218-2688",24, 2,"Mr. Ronald J. Daniels","President","4105168000","4105166025","520595110","00207700",1,"www.jhu.edu","apply.jhu.edu/index.html","apply.jhu.edu/finaid/finaid.html","apply.jhu.edu/apply/application.html","npc.collegeboard.org/student/app/jhu",2,1,2,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,12,6,17,15,2,5,12580,1,548,-2,2," ","-2",24510,"Baltimore city",2407,-76.620799,39.328380,127,1
163286,"University of Maryland-College Park"," ","College Park","MD","20742",24, 2,"Wallace D. Loh","President","3014051000"," ","526002033","00210300",1,"www.umd.edu","www.admissions.umd.edu/","www.financialaid.umd.edu/","www.admissions.umd.edu/apply/","npc.collegeboard.org/student/app/umd",1,1,1,9,1,1,11,1,2,2,1,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,13,4,16,15,1,5,47900,1,548,-2,1,"University System of Maryland","124010",24033,"Prince George's County",2405,-76.939704,38.988607,125,1
164988,"Boston University","One Silber Way","Boston","MA","02215",25, 1,"Robert  A. Brown","President","6173532000"," ","042103547","00213000",1,"www.bu.edu","www.bu.edu/admissions","www.bu.edu/finaid","www.bu.edu/admissions/apply","www.bu.edu/finaid/eligibility/calculated_need.html",2,1,2,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"BU|Boston U",2,15,11,14,12,5,17,15,2,5,14460,1,148,71650,2," ","-2",25025,"Suffolk County",2507,-71.099840,42.349581,127,1
166027,"Harvard University","Massachusetts Hall","Cambridge","MA","02138",25, 1,"Drew Gilpin Faust","President","6174951000"," ","042103580","00215500",1,"www.harvard.edu","www.admissions.college.harvard.edu","www.fao.fas.harvard.edu","www.admissions.college.harvard.edu/apply/forms/index.html","npc.fas.harvard.edu",2,1,2,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,5,14,12,6,17,15,2,5,14460,1,148,71650,2," ","-2",25017,"Middlesex County",2505,-71.118177,42.374429,127,1
166629,"University of Massachusetts-Amherst","374 Whitmore Building 181 Presidents Drive","Amherst","MA","01003",25, 1,"Kumble R. Subbaswamy","Chancellor","4135450111"," ","043167352","00222100",1,"www.umass.edu","www.umass.edu/umhome/admissions.php.html","www.umass.edu/umfa/","www.spire.umass.edu/psp/heproda/EMPLOYEE/HRMS/c/UM_SELF_SERVICE.UM_ADM_GRAD_LOGIN.GBL?FolderPath=PORTAL_ROOT_OBJECT.UM_ADM_SELF_SERVICE.UM_ADM","www.umass.edu/umfa/netprice/npcalc.htm",1,1,1,9,1,1,11,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1,"UMass Amherst",2,15,8,15,12,4,17,15,1,5,44140,1,521,78100,1,"University of Massachusetts","125030",25015,"Hampshire County",2502,-72.526130,42.386105,126,1
166683,"Massachusetts Institute of Technology","77 Massachusetts Avenue","Cambridge","MA","02139-4307",25, 1,"L. Rafael Reif","President","6172531000"," ","042103594","00217800",1,"web.mit.edu/student/","web.mit.edu/admissions/","web.mit.edu/sfs/","my.mit.edu/","web.mit.edu/sfs/afford/financial_aid_calculator.html",2,1,2,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"MIT |M.I.T.",2,15,11,15,12,6,17,15,2,4,14460,1,148,71650,2," ","-2",25017,"Middlesex County",2507,-71.092115,42.360095,127,1
170976,"University of Michigan-Ann Arbor","503 Thompson Street","Ann Arbor","MI","48109",26, 3,"Mary Sue Coleman","President","7347641817"," ","386006309","00232500",1,"www.umich.edu","www.admissions.umich.edu","www.finaid.umich.edu","www.admissions.umich.edu/applying","www.finaid.umich.edu/TopNav/Resources/MCalc.aspx",1,1,1,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor",2,15,8,14,12,5,16,15,2,5,11460,1,220,-2,2," ","-2",26161,"Washtenaw County",2612,-83.743130,42.276172,125,1
174066,"University of Minnesota-Twin Cities","100 Church Street SE","Minneapolis","MN","55455-0213",27, 4,"Eric W. Kaler","President","6126255000"," ","416007513","00396900",1,"www1.umn.edu/twincities/index.php","www1.umn.edu/twincities/admissions.php","onestop.umn.edu/finances/financial_aid/index.html","www.uofminn.org/10477/login.asp","npc.collegeboard.org/student/app/tcumn",1,1,1,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,13,5,15,15,1,5,33460,1,378,-2,1,"University of Minnesota","127020",27053,"Hennepin County",2705,-93.235352,44.977886,125,1
179867,"Washington University in St Louis","One Brookings Drive","Saint Louis","MO","63130-4899",29, 4,"Mark Wrighton","Chancellor","3149355000"," ","430653611","00252000",1,"www.wustl.edu"," "," "," ","sfs.wustl.edu",2,1,2,9,1,1,11,1,2,2,1,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1,"WUSTL |Washington U |WashU |Washington, St. Louis |Washington University in St. Louis |Washington University, St. Louis |WashU |Wash-U |Wash U |Wash. U.",2,15,8,14,12,5,17,15,2,4,41180,1,476,-2,2," ","-2",29189,"St. Louis County",2901,-90.311639,38.648125,127,1
182670,"Dartmouth College","207 Parkhurst Hall","Hanover","NH","03755-3529",33, 1,"Philip J. Hanlon '77","President","6036461110"," ","020222111","00257300",1,"www.dartmouth.edu","www.dartmouth.edu/admissions/","www.dartmouth.edu/~finaid/","www.dartmouth.edu/admissions/apply/","www.dartmouth.edu/~finaid/fao/need/parent.html",2,1,2,9,1,1,11,1,2,2,1,2,33,1,"A ",-2,-2,"-2",1,1,1,1,1,"Dartmouth, Big Green",2,15,4,17,12,5,14,16,2,3,17200,2,-2,74350,2," ","-2",33009,"Grafton County",3302,-72.289951,43.704080,127,1
186131,"Princeton University","1 Nassau Hall","Princeton","NJ","08544-0070",34, 2,"Christopher L. Eisgruber","President","6092583000"," ","210634501","00262700",1,"www.princeton.edu"," "," "," ","www.princeton.edu/admission/financialaid/estimator/",2,1,2,9,1,1,12,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,15,12,5,14,15,2,3,45940,1,408,-2,2," ","-2",34021,"Mercer County",3412,-74.663708,40.348496,127,2
186380,"Rutgers University-New Brunswick","83 Somerset St","New Brunswick","NJ","08901-1281",34, 2,"Robert L. Barchi","President","7329321766"," ","226001086","00262900",1,"www.rutgers.edu/","admissions.rutgers.edu/","studentaid.rutgers.edu/","admissions.rutgers.edu/ApplyNow/ApplicationsAndTheBasics.aspx","studentaid.rutgers.edu/npc/",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey",2,15,8,15,13,4,17,15,1,5,35620,1,408,-2,2," ","-2",34023,"Middlesex County",3406,-74.450510,40.503796,125,1
190150,"Columbia University in the City of New York","West 116 St and Broadway","New York","NY","10027",36, 2,"Lee C. Bollinger","President","2128541754"," ","603800000","00270700",1,"www.columbia.edu","www.columbia.edu/content/admissions.html","www.columbia.edu/cu/sfs/index.html","admissions.columbia.edu/","www.studentaffairs.columbia.edu/finaid/npc",2,1,2,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,6,17,15,2,5,35620,1,408,-2,2," ","-2",36061,"New York County",3610,-73.961885,40.808286,127,2
190415,"Cornell University","300 Day Hall","Ithaca","NY","14853",36, 2,"David J. Skorton","President","6072552000","6072555396","150532082","00271100",1,"www.cornell.edu","admissions.cornell.edu/","finaid.cornell.edu/","app.commonapp.org/application/applicantlogin.aspx?d=1189017177203","cornell.studentaidcalculator.com/survey.aspx",2,1,2,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,12,5,17,15,1,5,27060,1,296,-2,2," ","-2",36109,"Tompkins County",3623,-76.482690,42.445291,127,1
193900,"New York University","70 Washington Sq South","New York","NY","10012-1091",36, 2,"John E. Sexton","President","2129981212"," ","135562308","00278500",1,"www.nyu.edu"," "," "," ","www.nyu.edu/admissions/financial-aid-and-scholarships/financial-aid-calculator.html",2,1,2,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,5,17,15,2,5,35620,1,408,-2,2," ","-2",36061,"New York County",3610,-73.997264,40.729452,127,1
194824,"Rensselaer Polytechnic Institute","110 8th St","Troy","NY","12180-3590",36, 2,"Shirley Ann Jackson","President","5182766000","5182764072","141340095","00280300",1,"www.rpi.edu","www.rpi.edu/dept/admissions/index.html","www.rpi.edu/dept/admissions/aid/index.html","admissions.rpi.edu/undergraduate/admission/index.html","www.rpi.edu/npc/",2,1,2,9,1,1,12,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"RPI, Rensselaer",2,15,14,15,12,4,14,15,2,3,10580,1,104,-2,2," ","-2",36083,"Rensselaer County",3620,-73.678768,42.728983,127,1
195030,"University of Rochester","Wilson Blvd. - Wallis Hall","Rochester","NY","14627-0011",36, 2,"Joel Seligman","President","5852753221","5854611046","263800000","00289400",1,"www.rochester.edu","enrollment.rochester.edu/admissions/","enrollment.rochester.edu/financial/","www.enrollment.rochester.edu/admissions/apply/freshmen/","enrollment.rochester.edu/financial/estimator/",2,1,2,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,5,14,12,5,14,15,2,4,40380,1,464,-2,2," ","-2",36055,"Monroe County",3625,-77.631042,43.126437,127,1
196097,"Stony Brook University","310 Administration Building","Stony Brook","NY","11794",36, 2,"Samuel L. Stanley","President","6316326000"," ","146013200","00283800",1,"www.stonybrook.edu","www.stonybrook.edu/sb/admissions.shtml","www.stonybrook.edu/finaid/","www.stonybrook.edu/ugadmissions/applying/applyonline.shtml","www.stonybrook.edu/finaid/",1,1,1,9,1,1,11,1,2,1,1,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1,"SUNY Stony Brook |State University of New York at Stony Brook",2,15,8,14,13,5,17,15,2,5,35620,1,408,-2,1,"State University of New York System","136040",36103,"Suffolk County",3601,-73.123595,40.913138,126,1
198419,"Duke University","103 Allen Bldg","Durham","NC","27708",37, 5,"Richard Brodhead","President","9196848111"," ","560532129","00292000",1,"WWW.DUKE.EDU","www.admissions.duke.edu","www.finaid.duke.edu","www.commonapp.org/CommonApp/default.aspx","npc.collegeboard.org/student/app/duke",2,1,2,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,6,17,15,2,4,20500,1,450,-2,2," ","-2",37063,"Durham County",3701,-78.942260,36.001590,127,2
199120,"University of North Carolina at Chapel Hill","103 South Bldg Cb 9100","Chapel Hill","NC","27599",37, 5,"Carol L. Folt","Chancellor","9199622211"," ","566001393","00297400",1,"www.unc.edu","www.admissions.unc.edu","studentaid.unc.edu","www.admissions.unc.edu/Apply","npc.collegeboard.org/student/app/unc",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,5,16,15,2,5,20500,1,450,-2,1,"University of North Carolina","137030",37135,"Orange County",3704,-79.050969,35.912165,126,1
199193,"North Carolina State University at Raleigh","2101 Hillsborough Street","Raleigh","NC","27695-7001",37, 5,"Dr. W. Randolph Woodson","Chancellor","9195152011"," ","566000756","00297200",1,"www.ncsu.edu","www.ncsu.edu/future-students/admissions/index.php","www.fis.ncsu.edu/financial_aid/","www.ncsu.edu/future-students/apply/index.php","www.collegeportraits.org/NC/NC-State/estimator/agree",1,1,1,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"NC State University | NC State | N C State University | N C State | NCSU",2,15,11,17,12,4,16,15,1,5,39580,1,450,-2,1,"University of North Carolina","137030",37183,"Wake County",3704,-78.674517,35.785111,125,1
204796,"Ohio State University-Main Campus","190 N. Oval Mall","Columbus","OH","43210",39, 3,"Joseph A. Alutto","Interim President","6142926446","6142927199","316025986","00309000",1,"www.osu.edu","www.osu.edu/futurestudents/","www.sfa.osu.edu","apply.osu.edu/","sfa.osu.edu/npc/",1,1,1,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,13,4,15,15,1,5,18140,1,198,-2,2," ","-2",39049,"Franklin County",3903,-83.009001,39.998389,125,1
211440,"Carnegie Mellon University","5000 Forbes Avenue","Pittsburgh","PA","15213-3890",42, 2,"Subra Suresh","President","4122682000"," ","250969449","00324200",1,"www.cmu.edu/","admission.enrollment.cmu.edu/pages/undergraduate-admission","admission.enrollment.cmu.edu/pages/financial-aid","admission.enrollment.cmu.edu/pages/apply-now","admission.enrollment.cmu.edu/pages/financial-aid-estimator",2,1,2,9,1,1,12,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,15,12,5,17,15,2,4,38300,1,430,-2,2," ","-2",42003,"Allegheny County",4214,-79.942914,40.444616,127,1
214777,"Pennsylvania State University-Main Campus","201 Old Main","University Park","PA","16802-1503",42, 2,"Dr. Rodney A. Erickson","President","8148654700"," ","246000376","00332900",1,"www.psu.edu/","admissions.psu.edu/","studentaid.psu.edu/","admissions.psu.edu/apply/","tuition.psu.edu/costestimate.aspx",1,1,1,9,1,1,11,1,2,1,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Penn State",2,15,14,15,12,4,16,15,1,5,44300,1,524,-2,1,"The Pennsylvania State University","142060",42027,"Centre County",4205,-77.861644,40.800732,125,1
215062,"University of Pennsylvania","34th & Spruce Street","Philadelphia","PA","19104-6303",42, 2,"Amy Gutmann","President","2158985000"," ","231352685","00337800",1,"www.upenn.edu","www.upenn.edu/admissions/","www.sfs.upenn.edu/","www.admissions.upenn.edu/apply/","npc.collegeboard.org/student/app/upenn",2,1,2,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"Penn, U of PA, U-Penn, U of P, Pennsylvania, UPenn, Pennsylvania University, University of Pennsylvania, Wharton, Wharton School of Business",2,15,11,14,12,6,17,15,2,5,37980,1,428,-2,2," ","-2",42101,"Philadelphia County",4202,-75.193618,39.951002,127,1
